Lagerplats	Typ	Detalj	Clearing	X-koordinat	Y-koordinat	Timestamp	Multi	Sekvens	Checksiffra	"Visa saldo"	Påfyllning	"Max pall"	"Påfyllnings offset"	"Auto plac"	Klassificering	"Farligt gods"	Dimension
LS23032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	530	N	Y	1	4				
LS23032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	57	N	Y	1	4				
LS23033	B	H		0	0	"2024-12-19 08:30:17"	N	0	745	N	N	1	4				
LS23034	B	H		0	0	"2024-12-19 08:30:17"	N	0	958	N	N	1	4				
LS23035	B	H		0	0	"2024-12-19 08:30:17"	N	0	234	N	N	1	4				
LS23036	B	H		0	0	"2024-12-19 08:30:17"	N	0	175	N	N	1	4				
LS24011	P	G		0	0	"2024-12-19 08:05:35"	N	0	969	N	Y	1	4				
LS24012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	500	N	Y	1	4				
LS24012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	100	N	Y	1	4				
LS24013	B	H		0	0	"2024-12-19 08:30:17"	N	0	36	N	N	1	4				
LS24014	B	H		0	0	"2024-12-19 08:30:17"	N	0	474	N	N	1	4				
LS24015	B	H		0	0	"2024-12-19 08:30:17"	N	0	33	N	N	1	4				
LS24016	B	H		0	0	"2024-12-19 08:30:17"	N	0	874	N	N	1	4				
LS24021	P	G		0	0	"2024-12-19 08:05:35"	N	0	791	N	Y	1	4				
LS24022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	355	N	Y	1	4				
LS24022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	163	N	Y	1	4				
LS24023	B	H		0	0	"2024-12-19 08:30:17"	N	0	559	N	N	1	4				
LS24024	B	H		0	0	"2024-12-19 08:30:17"	N	0	249	N	N	1	4				
LS24025	B	H		0	0	"2024-12-19 08:30:17"	N	0	941	N	N	1	4				
LS24026	B	H		0	0	"2024-12-19 08:30:17"	N	0	817	N	N	1	4				
LS24031	P	G		0	0	"2024-12-19 08:05:35"	N	0	886	N	Y	1	4				
LS24032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	660	N	Y	1	4				
LS24032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	332	N	Y	1	4				
LS24033	B	H		0	0	"2024-12-19 08:30:17"	N	0	338	N	N	1	4				
LS24034	B	H		0	0	"2024-12-19 08:30:17"	N	0	982	N	N	1	4				
LS24035	B	H		0	0	"2024-12-19 08:30:17"	N	0	686	N	N	1	4				
LS24036	B	H		0	0	"2024-12-19 08:30:17"	N	0	162	N	N	1	4				
LS25011	P	G		0	0	"2024-12-19 08:05:35"	N	0	747	N	Y	1	4				
LS25012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	554	N	Y	1	4				
LS25012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	175	N	Y	1	4				
LS25013	B	H		0	0	"2024-12-19 08:30:17"	N	0	265	N	N	1	4				
LS25014	B	H		0	0	"2024-12-19 08:30:17"	N	0	82	N	N	1	4				
LS25015	B	H		0	0	"2024-12-19 08:30:17"	N	0	64	N	N	1	4				
LS25016	B	H		0	0	"2024-12-19 08:30:17"	N	0	249	N	N	1	4				
LS25021	P	G		0	0	"2024-12-19 08:05:35"	N	0	698	N	Y	1	4				
LS25022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	521	N	Y	1	4				
LS25022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	214	N	Y	1	4				
LS25023	B	H		0	0	"2024-12-19 08:30:17"	N	0	546	N	N	1	4				
LS25024	B	H		0	0	"2024-12-19 08:30:17"	N	0	88	N	N	1	4				
LS25025	B	H		0	0	"2024-12-19 08:30:17"	N	0	9	N	N	1	4				
LS25026	B	H		0	0	"2024-12-19 08:30:17"	N	0	646	N	N	1	4				
LS25031	P	G		0	0	"2024-12-19 08:05:35"	N	0	671	N	Y	1	4				
LS25032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	392	N	Y	1	4				
LS25032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	27	N	Y	1	4				
LS25033	B	H		0	0	"2024-12-19 08:30:17"	N	0	165	N	N	1	4				
LS25034	B	H		0	0	"2024-12-19 08:30:17"	N	0	236	N	N	1	4				
LS25035	B	H		0	0	"2024-12-19 08:30:17"	N	0	58	N	N	1	4				
LS25036	B	H		0	0	"2024-12-19 08:30:17"	N	0	78	N	N	1	4				
LS26011	P	G		0	0	"2024-12-19 08:05:35"	N	0	813	N	Y	1	4				
LS26012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	619	N	Y	1	4				
LS26012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	245	N	Y	1	4				
LS26013	B	H		0	0	"2024-12-19 08:30:17"	N	0	100	N	N	1	4				
LS26014	B	H		0	0	"2024-12-19 08:30:17"	N	0	680	N	N	1	4				
LS26015	B	H		0	0	"2024-12-19 08:30:17"	N	0	273	N	N	1	4				
LS26016	B	H		0	0	"2024-12-19 08:30:17"	N	0	192	N	N	1	4				
LS26021	P	G		0	0	"2024-12-19 08:05:35"	N	0	912	N	Y	1	4				
LS26022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	547	N	Y	1	4				
LS26022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	127	N	Y	1	4				
LS26023	B	H		0	0	"2024-12-19 08:30:17"	N	0	616	N	N	1	4				
LS26024	B	H		0	0	"2024-12-19 08:30:17"	N	0	283	N	N	1	4				
LS26025	B	H		0	0	"2024-12-19 08:30:17"	N	0	819	N	N	1	4				
LS26026	B	H		0	0	"2024-12-19 08:30:17"	N	0	287	N	N	1	4				
LS26031	P	G		0	0	"2024-12-19 08:05:35"	N	0	957	N	Y	1	4				
LS26032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	377	N	Y	1	4				
LS26032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	168	N	Y	1	4				
LS26033	B	H		0	0	"2024-12-19 08:30:17"	N	0	456	N	N	1	4				
LS26034	B	H		0	0	"2024-12-19 08:30:17"	N	0	944	N	N	1	4				
LS26035	B	H		0	0	"2024-12-19 08:30:17"	N	0	287	N	N	1	4				
LS26036	B	H		0	0	"2024-12-19 08:30:17"	N	0	37	N	N	1	4				
LS27011	P	G		0	0	"2024-12-19 08:05:35"	N	0	768	N	Y	1	4				
LS27012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	426	N	Y	1	4				
LS27012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	152	N	Y	1	4				
LS27013	B	H		0	0	"2024-12-19 08:30:17"	N	0	353	N	N	1	4				
LS27014	B	H		0	0	"2024-12-19 08:30:17"	N	0	831	N	N	1	4				
LS27015	B	H		0	0	"2024-12-19 08:30:17"	N	0	432	N	N	1	4				
LS27016	B	H		0	0	"2024-12-19 08:30:17"	N	0	859	N	N	1	4				
LS27021	P	G		0	0	"2024-12-19 08:05:35"	N	0	925	N	Y	1	4				
LS27022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	574	N	Y	1	4				
LS27022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	111	N	Y	1	4				
LS27023	B	H		0	0	"2024-12-19 08:30:17"	N	0	997	N	N	1	4				
LS27024	B	H		0	0	"2024-12-19 08:30:17"	N	0	140	N	N	1	4				
LS27025	B	H		0	0	"2024-12-19 08:30:17"	N	0	639	N	N	1	4				
LS27026	B	H		0	0	"2024-12-19 08:30:17"	N	0	615	N	N	1	4				
LS27031	P	G		0	0	"2024-12-19 08:05:35"	N	0	847	N	Y	1	4				
LS27032A	P	H		0	0	"2026-03-03 11:54:19"	N	0	565	N	Y	1	4				
LS27032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	219	N	Y	1	4				
LS27033	B	H		0	0	"2024-12-19 08:30:17"	N	0	152	N	N	1	4				
LS27034	B	H		0	0	"2024-12-19 08:30:17"	N	0	280	N	N	1	4				
LS27035	B	H		0	0	"2024-12-19 08:30:17"	N	0	908	N	N	1	4				
LS27036	B	H		0	0	"2024-12-19 08:30:17"	N	0	876	N	N	1	4				
LS28011	P	G		0	0	"2024-12-19 08:05:35"	N	0	784	N	Y	1	4				
LS28012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	402	N	Y	1	4				
LS28012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	56	N	Y	1	4				
LS28013	B	H		0	0	"2024-12-19 08:30:17"	N	0	425	N	N	1	4				
LS28014	B	H		0	0	"2024-12-19 08:30:17"	N	0	736	N	N	1	4				
LS28015	B	H		0	0	"2024-12-19 08:30:17"	N	0	193	N	N	1	4				
LS28016	B	H		0	0	"2024-12-19 08:30:17"	N	0	258	N	N	1	4				
LS28021	P	G		0	0	"2024-12-19 08:05:35"	N	0	949	N	Y	1	4				
LS28022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	529	N	Y	1	4				
LS28022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	183	N	Y	1	4				
LS28023	B	H		0	0	"2024-12-19 08:30:17"	N	0	274	N	N	1	4				
LS28024	B	H		0	0	"2024-12-19 08:30:17"	N	0	541	N	N	1	4				
LS28025	B	H		0	0	"2024-12-19 08:30:17"	N	0	363	N	N	1	4				
LS28026	B	H		0	0	"2024-12-19 08:30:17"	N	0	494	N	N	1	4				
LS28031	P	G		0	0	"2024-12-19 08:05:35"	N	0	760	N	Y	1	4				
LS28032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	612	N	Y	1	4				
LS28032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	223	N	Y	1	4				
LS28033	B	H		0	0	"2024-12-19 08:30:17"	N	0	502	N	N	1	4				
LS28034	B	H		0	0	"2024-12-19 08:30:17"	N	0	714	N	N	1	4				
LS28035	B	H		0	0	"2024-12-19 08:30:17"	N	0	469	N	N	1	4				
LS28036	B	H		0	0	"2024-12-19 08:30:17"	N	0	43	N	N	1	4				
LS29011	P	G		0	0	"2024-12-19 08:05:35"	N	0	867	N	Y	1	4				
LS29012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	428	N	Y	1	4				
LS29012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	173	N	Y	1	4				
LS29013	B	H		0	0	"2024-12-19 08:30:17"	N	0	605	N	N	1	4				
LS29014	B	H		0	0	"2024-12-19 08:30:17"	N	0	666	N	N	1	4				
LS29015	B	H		0	0	"2024-12-19 08:30:17"	N	0	502	N	N	1	4				
LS29016	B	H		0	0	"2024-12-19 08:30:17"	N	0	238	N	N	1	4				
LS29021	P	G		0	0	"2024-12-19 08:05:35"	N	0	920	N	Y	1	4				
LS29022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	653	N	Y	1	4				
LS29022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	70	N	Y	1	4				
LS29023	B	H		0	0	"2024-12-19 08:30:17"	N	0	497	N	N	1	4				
LS29024	B	H		0	0	"2024-12-19 08:30:17"	N	0	36	N	N	1	4				
LS29025	B	H		0	0	"2024-12-19 08:30:17"	N	0	234	N	N	1	4				
LS29026	B	H		0	0	"2024-12-19 08:30:17"	N	0	774	N	N	1	4				
LS29031	P	G		0	0	"2024-12-19 08:05:35"	N	0	902	N	Y	1	4				
LS29032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	657	N	Y	1	4				
LS29032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	196	N	Y	1	4				
LS29033	B	H		0	0	"2024-12-19 08:30:17"	N	0	139	N	N	1	4				
LS29034	B	H		0	0	"2024-12-19 08:30:17"	N	0	846	N	N	1	4				
LS29035	B	H		0	0	"2024-12-19 08:30:17"	N	0	534	N	N	1	4				
LS29036	B	H		0	0	"2024-12-19 08:30:17"	N	0	639	N	N	1	4				
LS30011	P	G		0	0	"2024-12-19 08:05:35"	N	0	776	N	Y	1	4				
LS30012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	404	N	Y	1	4				
LS30012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	153	N	Y	1	4				
LS30013	B	H		0	0	"2024-12-19 08:30:17"	N	0	179	N	N	1	4				
LS30014	B	H		0	0	"2024-12-19 08:30:17"	N	0	197	N	N	1	4				
LS30015	B	H		0	0	"2024-12-19 08:30:17"	N	0	735	N	N	1	4				
LS30016	B	H		0	0	"2024-12-19 08:30:17"	N	0	120	N	N	1	4				
LS30021	P	G		0	0	"2024-12-19 08:05:35"	N	0	864	N	Y	1	4				
LS30022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	361	N	Y	1	4				
LS30022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	314	N	Y	1	4				
LS30023	B	H		0	0	"2024-12-19 08:30:17"	N	0	803	N	N	1	4				
LS30024	B	H		0	0	"2024-12-19 08:30:17"	N	0	811	N	N	1	4				
LS30025	B	H		0	0	"2024-12-19 08:30:17"	N	0	296	N	N	1	4				
LS30026	B	H		0	0	"2024-12-19 08:30:17"	N	0	527	N	N	1	4				
LS30031	P	G		0	0	"2024-12-19 08:05:35"	N	0	853	N	Y	1	4				
LS30032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	520	N	Y	1	4				
LS30032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	264	N	Y	1	4				
LS30033	B	H		0	0	"2024-12-19 08:30:17"	N	0	566	N	N	1	4				
LS30034	B	H		0	0	"2024-12-19 08:30:17"	N	0	625	N	N	1	4				
LS30035	B	H		0	0	"2024-12-19 08:30:17"	N	0	896	N	N	1	4				
LS30036	B	H		0	0	"2024-12-19 08:30:17"	N	0	810	N	N	1	4				
