"Dimension Id"	Beskrivning	Längd	Bredd	Höjd
100919		2	"0,6"	40
100920		"12,5"	8	4
100921		"0,1"	5	5
100922		6	2	2
100923		10	6	2
100924		17	16	7
100925		11	8	"1,5"
100926		"10,5"	10	10
100927		10	15	13
100928		50	20	2
100929		14	4	10
100930		"30,5"	20	"12,5"
100931		111	81	23
100932		52	26	40
100933		80	25	25
100934		"6,5"	"8,5"	24
100935		"35,5"	"18,5"	35
100936		"14,5"	"12,4"	"9,9"
100937		1	9	"1,5"
100938		34	"27,5"	"12,5"
100939		19	19	"13,5"
100940		54	43	16
100941		28	37	"2,5"
100942		30	19	"3,5"
100943		59	46	10
100944		"4,5"	7	"20,5"
100945		80	59	"5,5"
100946		"81,5"	64	26
100947		140	25	2
100948		15	28	143
100949		100	1	"17,5"
100950		80	100	15
100951		"0,4"	"8,7"	"42,5"
100952		22	8	8
100953		36	36	19
100954		4	4	"11,5"
100955		50	46	6
100956		6	6	"25,5"
100957		14	9	"2,5"
100958		3	13	17
100959		23	"19,5"	"5,5"
100960		60	41	26
100961		4	12	"22,5"
100962		"4,7"	"15,4"	"6,4"
100963		"28,5"	"15,5"	"7,5"
100964		31	24	29
100965		"5,8"	"1,5"	"0,2"
100966		24	8	"2,2"
100967		9	"8,8"	26
100968		"29,9"	"25,5"	"11,9"
100969		"22,3"	"10,5"	"3,7"
100970		30	12	25
100971		85	70	5
100972		"7,5"	13	"35,5"
100973		24	13	4
100974		59	40	55
100975		19	12	6
100976		26	18	5
100977		19	19	9
100978		6	6	18
100979		40	29	7
100980		61	45	38
100981		"2,5"	12	15
100982		80	43	8
100983		94	43	8
100984		"22,8"	"76,2"	"20,9"
100985		"162,2"	"53,2"	"12,5"
100986		30	"53,2"	"162,2"
100987		76	"46,5"	39
100988		50	50	"12,5"
100989		1	12	12
100990		9	12	1
100991		12	"32,5"	"24,5"
100992		56	32	31
100993		"28,5"	"10,5"	2
100994		"34,5"	"25,5"	"26,5"
100995		8	8	26
100996		5	15	3
100997		"6,4"	"2,2"	"21,6"
100998		"27,3"	"14,6"	"24,1"
100999		"5,1"	"10,8"	"21,6"
101000		8	8	17
101001		57	"8,5"	1
101002		"60,7"	"18,3"	3
101003		12	"21,4"	"62,7"
101004		39	"19,1"	"32,5"
101005		13	"19,1"	"26,5"
101006		99	60	9
101007		"11,5"	17	3
101008		120	80	100
101009		60	12	30
101010		67	60	23
101011		"2,5"	13	13
101012		10	"17,5"	1
101013		"19,2"	12	"8,8"
101014		9	"6,5"	"1,9"
101015		"21,6"	"13,4"	"8,2"
101016		37	3	"4,5"
101017		"76,5"	9	"3,5"
101018		27	28	"28,5"
101019		55	35	10
101020		150	45	"9,2"
101021		"3,5"	"8,8"	"15,5"
101022		"5,2"	"5,2"	10
101023		"24,5"	9	"1,5"
101024		7	7	21
101025		"26,5"	"15,5"	1
101026		42	38	5
101027		"0,9"	"9,9"	"14,9"
101028		"19,1"	"10,3"	15
101029		6	20	17
101030		17	21	20
101031		21	21	"8,6"
101032		"44,5"	"43,3"	"10,6"
101033		"28,3"	"39,1"	"27,9"
101034		"6,3"	"11,5"	"27,2"
101035		"4,8"	"7,6"	"14,7"
101036		"26,5"	"16,5"	"1,2"
101037		8	"3,5"	"15,5"
101038		77	23	8
101039		80	40	16
101040		80	40	53
101041		"52,5"	51	36
101042		58	20	12
101043		7	7	"11,5"
101044		8	11	24
101045		60	60	17
101046		"4,5"	"7,5"	"16,8"
101047		154	"2,8"	"2,8"
101048		51	"6,5"	3
101049		"2,5"	11	14
101050		34	23	19
101051		"32,7"	"22,3"	"18,3"
101052		"9,5"	15	25
101053		59	48	9
101054		61	44	29
101055		26	"20,5"	12
101056		"8,5"	29	36
101057		"19,5"	22	"4,5"
101058		"23,6"	"17,6"	"21,4"
101059		10	24	25
101060		85	"22,4"	"4,2"
101061		101	"24,5"	5
101062		120	80	"8,5"
101063		"17,7"	"17,5"	6
101064		8	8	"24,4"
101065		"19,1"	"27,3"	"71,9"
101066		"70,6"	"24,9"	"4,2"
101067		32	9	32
101068		2	"6,1"	"14,4"
101069		28	12	3
101070		18	5	"2,5"
101071		6	31	17
101072		80	12	12
101073		30	10	2
101074		51	31	37
101075		24	10	3
101076		70	34	32
101077		5	45	60
101078		50	32	32
101079		"28,5"	"10,1"	"2,5"
101080		25	"14,5"	"14,5"
101081		"27,5"	8	15
101082		"3,5"	"8,7"	"15,5"
101083		35	25	7
101084		"2,8"	12	43
101085		9	20	"1,5"
101086		65	55	8
101087		55	8	2
101088		60	35	7
101089		35	4	4
101090		35	46	9
101091		4	10	20
101092		5	5	14
101093		29	27	24
101094		"18,5"	"12,5"	"2,5"
101095		119	13	13
101096		97	68	23
101097		80	25	60
101098		15	"11,5"	"11,5"
101099		4	9	39
101100		13	10	40
101101		"3,4"	"9,7"	"28,5"
101102		"2,6"	"12,5"	16
101103		"44,8"	"32,7"	"43,9"
101104		18	8	7
101105		50	"12,5"	50
101106		2	12	18
101107		2	9	17
101108		37	7	"3,3"
101109		"16,5"	"10,5"	4
101110		7	54	40
101111		"2,5"	28	37
101112		36	27	4
101113		4	27	40
101114		117	23	95
101115		45	10	60
101116		"26,4"	"23,6"	"20,2"
101117		"22,5"	22	10
101118		54	54	19
101119		27	"15,1"	"4,1"
101120		6	8	45
101121		70	57	1
101122		52	38	38
101123		15	14	4
101124		13	34	37
101125		"1,5"	38	46
101126		"36,2"	"18,5"	"54,5"
101127		"5,6"	"16,5"	"24,6"
101128		80	30	7
101129		"23,5"	19	13
101130		"38,3"	"12,8"	"15,7"
101131		"12,6"	"7,5"	"15,3"
101132		37	23	"4,5"
101133		11	4	2
101134		120	2	2
101135		70	8	6
101136		11	4	"9,5"
101137		"34,5"	"21,5"	10
101138		70	17	"2,5"
101139		81	"43,8"	5
101140		"46,4"	"34,3"	"31,1"
101141		90	75	"0,4"
101142		3	"9,5"	20
101143		"83,5"	14	"6,5"
101144		17	17	85
101145		"5,7"	"15,8"	27
101146		"28,3"	"35,6"	"33,5"
101147		"25,5"	"7,5"	9
101148		12	90	90
101149		"8,3"	"10,8"	"45,7"
101150		"27,3"	"5,7"	"5,7"
101151		"0,2"	"14,8"	18
101152		38	21	14
101153		10	6	10
101154		"3,5"	"11,5"	"16,5"
101155		9	9	33
