"Dimension Id"	Beskrivning	Längd	Bredd	Höjd
105175		"38,5"	20	30
105176		13	"19,5"	29
105177		1	24	12
105178		24	10	10
105179		1	25	12
105180		25	10	10
105181		37	10	9
105182		"127,2"	"42,4"	"21,2"
105183		75	42	44
105184		"73,5"	15	13
105185		83	17	17
105186		"2,8"	23	14
105187		23	14	24
105188		13	13	"2,5"
105189		"25,1"	"29,8"	"28,2"
105190		2	22	9
105191		22	9	12
105192		"6,5"	"13,5"	5
105193		"35,2"	14	22
105194		"30,8"	"27,7"	"11,3"
105195		33	34	"12,5"
105196		16	16	25
105197		21	"9,5"	"12,3"
105198		19	9	1
105199		18	"2,2"	"5,5"
105200		"23,5"	10	1
105201		28	10	6
105202		"2,4"	40	28
105203		39	"34,5"	13
105204		12	33	25
105205		"3,5"	10	25
105206		6	30	40
105207		"2,5"	42	60
105208		12	"1,1"	32
105209		"90,5"	26	7
105210		"3,5"	"9,1"	"16,8"
105211		18	"38,5"	78
105212		115	80	20
105213		22	44	17
105214		23	11	6
105215		5	26	13
105216		26	13	27
105217		2	26	10
105218		25	15	13
105219		42	42	45
105220		40	"47,5"	40
105221		33	22	"12,8"
105222		37	37	15
105223		40	32	"13,5"
105224		9	7	1
105225		28	29	9
105226		"39,5"	"28,9"	"18,4"
105227		"17,5"	"1,1"	"0,8"
105228		18	"26,5"	27
105229		"8,2"	"8,2"	26
105230		57	37	2
105231		"5,2"	"5,2"	13
105232		60	34	39
105233		"1,5"	"25,5"	"11,5"
105234		"25,5"	"11,5"	19
105235		"6,5"	"9,5"	"19,5"
105236		"9,5"	"9,5"	10
105237		2	"13,6"	19
105238		"0,1"	34	"12,5"
105239		"27,5"	24	"27,5"
105240		20	31	5
105241		21	29	25
105242		1	23	11
105243		"1,5"	"23,5"	"10,5"
105244		"23,5"	"10,5"	19
105245		"0,3"	"0,3"	"0,17"
105246		"39,4"	"19,5"	"11,5"
105247		22	"6,5"	4
105248		"12,7"	10	"8,9"
105249		2	"8,4"	12
105250		"13,5"	"6,5"	5
105251		28	12	"11,2"
105252		"1,7"	28	12
105253		"4,4"	40	"9,5"
105254		"19,9"	16	"13,8"
105255		45	40	20
105256		35	"31,5"	"14,5"
105257		"0,1"	31	"14,5"
105258		21	"10,6"	"10,3"
105259		200	11	11
105260		1	21	9
105261		22	10	10
105262		41	51	25
105263		"1,5"	"22,5"	10
105264		"22,5"	10	19
105265		26	31	37
105266		2	"5,5"	30
105267		"28,5"	"15,5"	"6,5"
105268		2	"11,8"	"3,3"
105269		19	12	"29,5"
105270		"19,5"	34	"12,5"
105271		"7,5"	14	24
105272		48	34	16
105273		46	32	2
105274		"55,5"	37	"19,6"
105275		40	32	30
105276		12	12	"3,5"
105277		60	36	46
105278		36	36	8
105279		6	"18,8"	6
105280		"25,6"	"19,1"	"19,2"
105281		9	"8,5"	"23,5"
105282		60	25	3
105283		60	26	32
105284		"7,2"	"5,8"	"2,3"
105285		"33,5"	"28,5"	12
105286		26	13	3
105287		24	20	2
105288		17	17	15
105289		"6,4"	"6,4"	"20,7"
105290		"26,4"	"19,6"	21
105291		39	31	13
105292		"6,1"	27	"6,1"
105293		"81,5"	40	41
105294		55	51	51
105295		2	10	25
105296		90	60	"2,5"
105297		19	13	"2,9"
105298		39	29	16
105299		50	31	13
105300		39	47	14
105301		5	5	8
105302		"6,6"	"6,6"	"23,3"
105303		"39,3"	"26,2"	"23,2"
105304		"25,5"	"9,8"	1
105305		"24,5"	13	"8,5"
105306		18	6	3
105307		36	12	1
105308		3	35	18
105309		35	18	"9,2"
105310		18	12	10
105311		"4,6"	30	"37,5"
105312		5	"14,5"	29
105313		"39,5"	"29,5"	"27,5"
105314		"0,8"	20	12
105315		20	12	10
105316		33	14	1
105317		4	8	23
105318		"81,9"	24	"20,6"
105319		55	"27,5"	"29,4"
105320		1	"17,5"	"11,8"
105321		"17,5"	"12,2"	"5,5"
105322		24	10	15
105323		2	24	10
105324		20	3	"4,5"
105325		"31,4"	17	"18,3"
105326		"1,6"	"8,4"	"11,9"
105327		40	40	39
105328		44	53	45
105329		3	6	"8,4"
105330		"17,1"	"12,1"	"8,8"
105331		1	10	24
105332		10	24	13
105333		23	"8,8"	1
105334		23	10	"8,5"
105335		"6,5"	"19,5"	"19,5"
105336		"21,3"	9	"3,5"
105337		"22,3"	"10,5"	12
105338		5	5	16
105339		17	5	5
105340		"18,5"	"12,5"	"29,5"
105341		"1,5"	"25,5"	"13,5"
105342		"26,5"	13	9
105343		35	30	"11,6"
105344		"0,7"	"27,5"	"11,5"
105345		29	12	"23,5"
105346		15	12	"2,5"
105347		"19,5"	"19,5"	"20,5"
105348		"18,2"	"12,1"	"15,4"
105349		1	26	12
105350		26	10	10
105351		"0,7"	"26,5"	"11,2"
105352		28	12	"23,5"
105353		4	29	"14,5"
105354		"28,5"	"23,5"	"14,5"
105355		25	10	4
105356		38	28	18
105357		2	24	38
105358		30	13	4
105359		40	41	50
105360		34	40	40
105361		25	"10,8"	1
105362		19	13	29
105363		13	50	31
105364		24	9	1
105365		24	11	"8,5"
105366		60	37	10
105367		24	31	28
105368		9	18	"8,2"
105369		4	10	25
105370		"33,7"	"28,2"	13
105371		160	14	3
105372		"38,5"	"46,6"	"12,3"
105373		"25,4"	"18,3"	"6,9"
105374		1	16	"6,5"
105375		"25,5"	"11,5"	"1,6"
105376		"23,5"	12	"23,5"
105377		"0,7"	"23,5"	"9,8"
105378		"1,8"	"8,4"	"11,9"
105379		59	2	38
105380		6	6	24
105381		20	5	4
105382		"4,1"	"4,2"	"25,5"
105383		"80,5"	"33,3"	"19,8"
105384		114	70	35
105385		4	"23,5"	"35,5"
105386		"2,3"	30	"14,6"
105387		"31,1"	"29,2"	"19,5"
105388		26	"28,5"	26
105389		"6,5"	16	24
105390		39	29	"18,5"
105391		"13,5"	"10,5"	12
105392		34	26	16
105393		26	12	"23,5"
105394		"0,7"	"24,5"	"10,2"
105395		4	18	22
105396		40	18	20
105397		"6,5"	26	"6,5"
105398		"0,6"	35	14
105399		"35,2"	"13,3"	"6,7"
105400		60	42	5
105401		6	"9,5"	"4,4"
105402		34	12	1
105403		51	"12,5"	12
105404		3	21	9
105405		21	9	3
105406		2	16	12
105407		18	"58,5"	6
105408		"5,6"	"10,5"	"18,5"
105409		"58,5"	"39,5"	35
105410		17	33	3
105411		20	28	24
105412		"0,4"	"7,5"	19
105413		"0,1"	13	"48,5"
105414		15	18	9
105415		"46,6"	"12,3"	"38,5"
105416		113	"100,8"	"23,5"
105417		45	34	21
105418		"19,5"	"13,5"	"13,9"
105419		38	57	"14,5"
105420		10	25	20
105421		3	22	9
105422		22	9	20
105423		19	13	3
105424		56	38	10
105425		"10,8"	40	"22,6"
105426		3	"31,7"	"29,4"
105427		"34,5"	22	31
105428		60	40	"21,3"
105429		"51,6"	"32,5"	11
105430		"31,5"	"23,7"	10
105431		"2,5"	"45,5"	15
105432		60	20	25
105433		2	27	15
105434		24	13	27
105435		40	40	41
105436		"18,3"	"13,4"	"19,2"
105437		"20,9"	"12,4"	"14,4"
105438		200	12	12
105439		43	32	8
105440		"19,5"	"13,5"	18
105441		"1,3"	13	"23,1"
105442		62	40	41
105443		70	37	37
105444		"10,5"	"4,5"	26
105445		"3,2"	"26,5"	"15,2"
105446		"26,5"	"15,2"	25
105447		23	"26,2"	"10,5"
105448		35	"18,5"	"9,5"
105449		"3,2"	35	"18,5"
105450		"26,5"	10	1
105451		"1,5"	5	"5,5"
105452		5	5	22
105453		"1,8"	18	30
105454		"24,5"	18	21
105455		"1,1"	"13,8"	"6,6"
105456		"45,4"	"30,8"	"15,4"
105457		2	17	12
105458		28	28	34
105459		5	6	10
105460		"20,5"	"2,5"	"2,5"
105461		11	44	"0,5"
105462		"6,5"	"6,5"	"20,5"
105463		"19,9"	"14,3"	"10,8"
105464		59	4	"4,5"
105465		11	3	"5,5"
105466		2	20	25
105467		"4,5"	"23,3"	"9,2"
105468		18	"23,3"	"27,6"
105469		29	14	10
105470		"2,5"	10	4
105471		49	34	"12,5"
105472		1	22	9
105473		"2,9"	"6,1"	"10,7"
105474		47	47	4
105475		4	4	9
105476		"19,5"	"5,5"	2
105477		"39,6"	"26,5"	"22,2"
105478		"6,6"	"6,6"	"21,7"
105479		"2,8"	15	"4,9"
105480		"29,2"	"16,3"	"13,8"
105481		"0,9"	"16,8"	9
105482		19	1	4
105483		40	20	31
105484		"12,8"	19	29
105485		6	6	"4,5"
105486		25	"9,5"	1
105487		24	12	"8,5"
105488		"0,03"	"0,01"	"0,03"
105489		"6,8"	19	29
105490		"1,4"	"8,5"	12
105491		"21,4"	19	23
105492		39	39	32
105493		"28,5"	10	8
105494		19	14	17
105495		2	19	14
105496		40	34	"3,4"
105497		"60,5"	"40,5"	14
105498		"23,5"	"17,5"	"22,7"
105499		"5,6"	"5,6"	"22,4"
105500		36	36	50
105501		"5,1"	26	"5,1"
105502		38	"28,5"	2
105503		34	34	27
105504		5	"5,2"	"12,7"
105505		117	"72,5"	9
105506		5	5	17
105507		12	"35,5"	"21,2"
105508		2	37	17
105509		37	17	8
105510		"5,5"	10	25
105511		19	"7,5"	17
105512		"17,8"	12	"15,9"
105513		"0,5"	"9,5"	"13,5"
105514		12	15	22
105515		"1,5"	"14,5"	26
105516		"0,3"	"11,5"	"16,5"
105517		"11,6"	33	"21,2"
105518		"39,5"	27	41
105519		113	"23,5"	"100,8"
105520		"35,2"	"13,3"	"5,9"
105521		"0,5"	35	14
105522		"4,5"	"11,5"	"25,5"
105523		60	60	2
105524		"11,5"	"11,5"	31
105525		"24,5"	"10,5"	36
105526		19	19	13
105527		45	55	8
105528		32	38	11
105529		"12,8"	16	"7,5"
105530		8	8	"14,4"
105531		39	"28,5"	"18,5"
105532		5	22	25
105533		1	11	28
105534		"15,6"	"11,2"	15
105535		24	24	"26,5"
105536		"39,6"	"26,4"	"23,2"
105537		"6,5"	"6,5"	"22,7"
105538		15	15	26
105539		2	16	"33,5"
105540		13	16	"33,5"
105541		1	47	47
105542		50	50	10
105543		84	"35,5"	"21,2"
105544		"26,5"	"12,8"	7
105545		"21,2"	"42,4"	"21,2"
105546		18	21	"0,5"
105547		12	18	22
105548		59	40	"14,5"
105549		"6,5"	13	19
105550		"20,5"	8	"5,6"
105551		13	13	"5,5"
105552		140	120	35
105553		"12,5"	5	"2,5"
105554		28	"31,5"	28
105555		"21,5"	16	"6,6"
105556		29	19	19
105557		58	"34,9"	"3,8"
105558		"8,5"	"20,3"	13
105559		"0,1"	"5,7"	"3,7"
105560		30	"13,5"	"11,2"
105561		"1,7"	30	"13,5"
105562		"7,5"	"7,5"	19
105563		5	5	29
105564		13	27	1
105565		23	10	5
105566		"11,5"	"11,5"	"26,5"
105567		"86,4"	40	"22,6"
105568		83	20	3
105569		82	41	14
105570		"20,7"	"27,4"	"23,9"
105571		"17,6"	"12,3"	"7,2"
105572		"1,5"	"17,5"	"11,8"
105573		5	"7,5"	"20,5"
105574		"0,5"	4	8
105575		23	10	15
105576		2	23	10
105577		4	"27,5"	"13,5"
105578		27	21	13
105579		28	30	8
105580		"26,3"	"23,6"	"5,8"
105581		"0,7"	"20,8"	"4,4"
105582		"43,5"	28	12
105583		9	9	26
105584		8	18	18
105585		35	22	12
105586		31	19	15
105587		85	3	3
105588		75	15	"2,5"
105589		21	"7,5"	5
105590		1	"25,6"	"10,5"
105591		27	13	14
105592		"3,2"	15	5
105593		30	"16,7"	"13,8"
105594		18	15	"2,5"
105595		"26,5"	"26,5"	27
105596		28	"15,5"	"25,2"
105597		"3,5"	28	"15,5"
105598		70	40	40
105599		16	25	35
105600		"29,5"	"13,5"	9
105601		"1,5"	"29,5"	"13,5"
105602		12	"18,5"	30
105603		150	90	"0,7"
105604		"81,2"	"34,8"	"21,2"
105605		15	12	15
105606		2	15	12
105607		1	"10,2"	"5,4"
105608		37	15	20
105609		"13,3"	"20,4"	"6,2"
105610		14	11	5
105611		120	27	100
105612		6	3	"8,4"
105613		"12,1"	"17,1"	"8,8"
105614		"3,5"	12	19
105615		24	13	10
105616		"23,3"	7	7
105617		"6,5"	16	18
105618		34	34	"1,8"
105619		1	22	"9,3"
105620		24	10	14
105621		11	27	"9,4"
105622		12	27	1
105623		15	30	30
105624		"0,3"	"0,2"	"0,19"
105625		35	33	33
105626		49	33	64
105627		5	5	35
105628		"6,8"	45	"6,8"
105629		57	2	37
105630		33	"37,5"	33
105631		24	13	"25,5"
105632		2	"25,5"	15
105633		2	26	13
105634		26	13	19
105635		"3,5"	12	"8,5"
105636		"6,5"	"9,5"	"25,5"
105637		"6,5"	"6,6"	"18,5"
105638		"29,5"	"18,5"	"12,5"
105639		"4,7"	"40,5"	"8,8"
105640		34	"14,5"	12
105641		1	38	"15,5"
105642		21	"9,5"	1
105643		"19,5"	"5,5"	"3,2"
105644		18	9	4
105645		"4,4"	1	"1,05"
105646		22	14	13
105647		"0,2"	"0,3"	"0,27"
105648		"88,5"	"45,5"	10
105649		"20,5"	"11,5"	"6,5"
105650		40	5	5
105651		15	"9,5"	27
105652		21	16	11
105653		"19,5"	"17,7"	"20,7"
105654		4	22	"17,5"
105655		4	22	18
105656		85	50	"1,8"
105657		"1,1"	"14,6"	"6,4"
105658		"1,5"	31	"14,5"
105659		31	"14,5"	18
105660		"0,5"	21	11
105661		23	"10,5"	"13,7"
105662		30	27	"11,6"
105663		"31,8"	"19,4"	11
105664		6	"30,6"	"5,2"
105665		"79,9"	37	"20,9"
105666		"4,7"	"9,4"	"19,2"
105667		"23,5"	"19,6"	"26,5"
105668		"1,5"	"14,5"	30
105669		25	"16,5"	"20,5"
105670		"1,5"	"24,5"	11
105671		"24,5"	11	19
105672		"0,5"	"8,4"	"11,9"
105673		1	24	"10,5"
105674		26	12	14
105675		"7,6"	8	6
105676		36	12	6
105677		18	11	9
105678		"0,8"	18	11
105679		"2,1"	28	21
105680		26	"8,5"	"8,5"
105681		35	"18,6"	"9,7"
105682		"3,5"	35	"18,6"
105683		28	40	42
105684		"6,1"	17	21
105685		"8,2"	"8,2"	"19,5"
105686		"4,4"	22	23
105687		"1,5"	28	13
105688		28	13	9
105689		99	15	13
105690		101	44	47
105691		"25,5"	"29,3"	"25,5"
105692		25	11	14
105693		1	24	"9,5"
105694		2	18	13
105695		18	14	16
105696		40	36	"36,5"
105697		2	12	"18,5"
105698		40	30	16
105699		67	39	46
105700		"4,8"	39	"4,8"
105701		4	29	20
105702		2	19	38
105703		39	20	22
105704		6	6	"3,2"
105705		"13,8"	"19,6"	"3,9"
105706		"17,4"	"35,6"	"19,1"
105707		39	"42,5"	"20,3"
105708		"8,5"	"8,5"	3
105709		"56,5"	"39,5"	16
105710		12	"6,3"	"21,5"
105711		24	11	20
105712		3	24	11
105713		"6,5"	"12,5"	24
105714		34	26	"25,5"
105715		22	35	26
105716		6	"17,5"	25
105717		35	19	10
105718		"3,7"	35	19
105719		"23,5"	20	"23,5"
105720		"1,5"	10	25
105721		17	4	2
105722		29	7	10
105723		36	34	9
105724		20	20	"12,5"
105725		"14,5"	"9,5"	"14,1"
105726		"2,6"	"8,4"	12
105727		3	"8,1"	5
105728		27	9	4
105729		"44,5"	"21,2"	16
105730		"8,3"	"9,6"	"13,8"
105731		48	36	23
105732		"2,8"	24	"14,2"
105733		24	"14,2"	"24,3"
105734		10	50	9
105735		"39,5"	45	"39,5"
105736		"1,5"	23	13
105737		24	"10,5"	23
105738		46	62	34
105739		13	13	"3,5"
105740		"38,5"	28	15
105741		"1,5"	27	13
105742		27	13	9
105743		"25,5"	10	1
105744		"28,5"	10	7
105745		34	15	12
105746		57	2	38
105747		"17,8"	"17,8"	"7,8"
105748		"0,7"	"25,5"	"10,6"
105749		"26,5"	"10,5"	"23,5"
105750		"3,8"	"6,1"	"13,3"
105751		21	9	14
105752		"30,5"	"8,3"	"8,3"
105753		29	"12,5"	"11,2"
105754		"1,7"	29	"12,5"
105755		"6,1"	"19,6"	"19,6"
105756		117	"26,5"	8
105757		18	18	"9,8"
105758		"82,3"	"35,3"	"19,8"
105759		"6,2"	"22,8"	6
105760		3	25	"14,5"
105761		25	"14,5"	"24,6"
105762		"28,8"	"38,8"	20
105763		"8,6"	"38,5"	"8,6"
105764		"19,3"	13	25
105765		7	5	"12,5"
105766		"11,5"	"11,5"	3
105767		"6,4"	"14,4"	"22,4"
105768		2	"1,4"	"0,2"
105769		"18,7"	"10,2"	"10,4"
105770		"5,2"	26	"5,2"
105771		37	38	38
105772		"32,5"	31	"32,5"
105773		"19,8"	"7,5"	"9,5"
105774		"1,1"	"16,8"	9
105775		5	27	30
105776		25	37	"20,5"
105777		22	"8,5"	6
105778		6	36	30
105779		"4,3"	13	"17,7"
105780		"37,4"	27	18
105781		"10,9"	"2,9"	"7,8"
105782		53	32	"0,3"
105783		58	36	35
105784		43	15	20
105785		45	35	3
105786		58	44	38
105787		"3,5"	"11,6"	"17,3"
105788		5	21	18
105789		31	"34,5"	6
105790		35	35	"5,5"
105791		24	9	3
105792		20	1	4
105793		"1,9"	"4,9"	"11,8"
105794		"0,6"	"0,6"	18
105795		"3,8"	"1,9"	"1,9"
105796		"182,2"	"27,5"	"32,4"
105797		17	"26,5"	"1,8"
105798		80	42	30
105799		198	"25,2"	"26,5"
105800		22	24	12
105801		2	10	60
105802		2	10	50
105803		2	19	"5,5"
105804		2	"24,5"	7
105805		"2,5"	19	6
105806		40	60	10
105807		54	38	7
105808		70	5	4
105809		10	30	4
105810		2	"21,5"	6
105811		2	22	6
105812		"20,3"	"7,6"	"1,3"
105813		"21,6"	"7,6"	"5,1"
105814		"2,5"	"20,5"	6
105815		2	10	80
105816		"43,5"	"0,8"	"4,6"
105817		44	"5,5"	"5,5"
105818		55	11	1
105819		4	10	41
105820		"5,5"	"5,5"	"25,5"
105821		3	9	25
105822		"5,5"	10	43
105823		"2,5"	25	7
105824		"8,5"	"8,5"	"24,5"
105825		2	5	50
105826		11	11	22
105827		5	10	47
105828		32	19	3
105829		"5,5"	10	45
105830		2	9	9
105831		67	52	2
105832		2	6	31
105833		55	13	8
105834		5	10	48
105835		8	15	23
105836		2	10	70
105837		2	10	65
105838		55	2	2
105839		67	54	2
105840		4	10	39
105841		"4,4"	"17,3"	20
105842		40	40	100
105843		20	1	10
105844		40	32	2
105845		14	10	14
105846		20	57	17
105847		30	26	24
105848		"0,2"	"3,5"	50
105849		98	25	19
105850		40	40	30
105851		9	9	15
105852		50	50	38
105853		31	31	29
105854		"54,1"	79	32
105855		160	80	120
105856		32	"11,5"	24
105857		26	"17,3"	"20,6"
105858		"22,5"	"10,5"	"5,5"
105859		32	25	14
105860		"18,5"	13	11
105861		"38,5"	"28,5"	"38,5"
105862		57	10	45
105863		"4,2"	"4,2"	"9,7"
105864		"22,5"	"22,5"	"56,5"
105865		21	23	21
105866		3	21	41
105867		"17,8"	"7,8"	"4,5"
105868		22	"1,5"	34
105869		5	5	"1,4"
105870		2	27	40
105871		"6,2"	"6,2"	"6,2"
105872		13	"18,1"	"15,5"
105873		"3,5"	9	"13,8"
105874		47	22	22
105875		180	112	63
105876		"119,5"	"19,5"	10
105877		"34,5"	"34,5"	"11,5"
105878		"37,5"	"37,5"	"27,5"
105879		5	12	"26,5"
105880		"27,4"	"35,1"	"28,7"
105881		80	120	115
105882		80	38	37
105883		31	"20,5"	12
105884		"19,5"	"15,4"	"15,4"
105885		"6,5"	"6,5"	23
105886		26	"16,6"	3
105887		"39,5"	"19,6"	18
105888		"19,6"	"17,1"	18
105889		2	"12,8"	"15,7"
105890		12	28	45
105891		"2,5"	11	23
105892		"2,5"	"11,2"	"17,5"
105893		17	14	"8,1"
105894		16	12	"11,5"
105895		"15,5"	11	"5,3"
105896		"9,2"	"5,3"	"5,3"
105897		"21,5"	"8,5"	3
105898		61	"30,5"	22
105899		4	55	8
105900		"8,3"	"12,4"	"4,8"
105901		"29,5"	12	"1,5"
105902		38	38	32
105903		57	38	"21,5"
105904		19	30	"1,8"
105905		9	8	10
105906		50	41	7
105907		120	80	155
105908		14	14	7
105909		"33,5"	38	51
105910		59	78	140
105911		"0,5"	"1,1"	"2,2"
105912		60	"20,5"	"33,5"
105913		"0,1"	"1,5"	32
105914		"0,2"	"1,5"	44
105915		"19,2"	"4,7"	"13,6"
105916		"8,8"	"14,1"	"3,6"
105917		18	8	14
105918		30	30	80
105919		12	6	"0,5"
105920		13	22	"21,1"
105921		36	36	36
105922		"41,3"	"25,2"	"28,5"
105923		9	"28,5"	"1,8"
105924		"0,4"	"1,8"	30
105925		"3,3"	"3,3"	"3,7"
105926		7	13	1
105927		32	14	14
105928		37	29	5
105929		3	3	30
105930		"4,4"	"4,4"	5
105931		"0,4"	"1,8"	40
105932		95	25	24
105933		70	39	5
105934		"15,5"	1	103
105935		"4,2"	"4,2"	"5,6"
105936		"19,1"	"8,1"	"8,1"
105937		"4,5"	12	15
105938		"0,4"	"1,8"	35
105939		1	1	7
105940		12	"4,5"	2
105941		30	30	35
105942		40	33	7
105943		"24,5"	18	16
105944		"12,5"	"1,1"	"12,5"
105945		20	27	34
105946		74	58	11
105947		20	10	10
105948		22	32	120
105949		8	8	23
105950		"34,5"	20	"12,5"
105951		36	20	2
105952		3	25	50
105953		53	27	35
105954		"21,5"	"15,5"	23
105955		4	4	12
105956		30	25	31
105957		13	13	31
105958		40	"31,6"	"31,2"
105959		7	10	"28,7"
105960		160	54	5
105961		"24,5"	59	3
105962		"52,9"	"29,2"	"25,7"
105963		"2,5"	"8,5"	29
105964		10	"9,5"	30
105965		"14,5"	"9,1"	"2,5"
105966		"15,5"	"9,5"	"15,5"
105967		70	25	13
105968		120	"4,5"	"4,5"
105969		27	33	39
105970		8	"17,7"	"27,5"
105971		30	"39,5"	24
105972		66	42	17
105973		90	90	6
105974		6	"13,8"	26
105975		"28,5"	"36,8"	"27,7"
105976		80	20	4
105977		"6,5"	"7,5"	"11,1"
105978		40	17	"23,5"
105979		6	19	28
105980		"39,2"	"25,5"	29
105981		"19,4"	"10,8"	"27,8"
105982		"38,8"	"22,4"	"28,1"
105983		"6,3"	"1,9"	"9,4"
105984		25	10	"14,4"
105985		"58,9"	"24,4"	40
105986		116	"16,2"	"12,7"
105987		21	19	28
105988		120	28	9
105989		"31,8"	"24,7"	"20,1"
105990		"7,5"	"7,5"	24
105991		160	51	22
105992		34	"19,5"	7
105993		116	"15,7"	"15,7"
105994		"81,4"	"38,4"	"18,5"
105995		"35,4"	"29,5"	"22,6"
105996		"5,5"	"14,2"	"21,5"
105997		"14,5"	"19,4"	"32,5"
105998		4	9	3
105999		"0,1"	9	3
106000		"14,5"	27	"14,5"
106001		15	23	13
106002		70	9	"12,2"
106003		85	65	"2,5"
106004		39	40	10
106005		"25,5"	18	"10,5"
106006		165	46	9
106007		12	48	165
106008		15	15	27
106009		25	22	13
106010		15	15	30
106011		89	11	10
106012		50	41	30
106013		24	24	48
106014		49	49	50
106015		"15,2"	"14,5"	"1,6"
106016		12	11	"1,6"
106017		"12,8"	"11,5"	"1,2"
106018		"14,3"	13	"1,2"
106019		"14,4"	"12,7"	"1,2"
106020		11	"10,1"	"1,4"
106021		"11,7"	11	"1,6"
106022		"18,5"	"19,5"	"19,5"
106023		"15,8"	"14,3"	"1,2"
106024		"15,8"	"14,8"	"1,2"
106025		15	"13,4"	"1,6"
106026		"13,5"	12	"1,6"
106027		"13,5"	12	"1,2"
106028		"15,6"	"13,8"	"1,2"
106029		"12,8"	"11,5"	"1,6"
106030		"15,9"	"15,2"	"1,6"
106031		"14,9"	"13,9"	"1,6"
106032		"15,7"	"14,6"	"1,6"
106033		"12,8"	"11,8"	"1,6"
106034		"14,3"	14	"1,6"
106035		"9,6"	"8,8"	"1,4"
106036		"12,9"	"12,8"	"1,6"
106037		"10,2"	"9,6"	"1,4"
106038		"15,3"	15	"1,6"
106039		"13,1"	"11,5"	"1,2"
106040		"15,9"	"14,6"	2
106041		"12,2"	"11,6"	"1,6"
106042		"14,2"	"13,4"	"1,6"
106043		"13,8"	"12,4"	"1,2"
106044		"13,2"	"12,2"	"1,2"
106045		"12,2"	"12,2"	"1,6"
106046		"12,5"	"11,4"	"1,6"
106047		14	13	"1,6"
106048		"14,4"	"12,7"	"1,6"
106049		"11,5"	"11,2"	"1,6"
106050		"13,3"	12	"1,2"
106051		16	"15,9"	"1,6"
106052		"14,5"	"13,5"	"1,6"
106053		"9,4"	"8,6"	"1,4"
106054		"14,7"	"14,5"	"1,6"
106055		14	"12,4"	"1,2"
106056		"16,3"	"15,2"	2
106057		"16,2"	"15,2"	2
106058		"10,2"	"9,5"	"1,4"
106059		"12,1"	"11,8"	"1,6"
106060		"16,1"	"14,5"	"1,2"
106061		"12,3"	"11,5"	"1,2"
106062		"14,8"	"13,3"	"1,2"
106063		"15,2"	"13,4"	"1,2"
106064		17	"15,9"	2
106065		"15,1"	"13,5"	"1,2"
106066		15	"13,4"	"1,2"
106067		"12,8"	"12,2"	"1,6"
106068		14	"13,9"	"1,6"
106069		15	"14,2"	"1,2"
106070		"15,8"	14	"1,2"
106071		"14,5"	"13,2"	"1,2"
106072		33	18	6
106073		"13,8"	"12,8"	"1,2"
106074		47	47	37
106075		47	47	53
106076		14	14	2
106077		30	30	42
106078		26	26	3
106079		27	27	21
106080		"29,6"	"26,3"	"55,1"
106081		100	20	17
106082		29	14	43
106083		40	35	40
106084		"25,5"	12	"39,5"
106085		60	60	44
106086		17	23	2
106087		"39,3"	"39,3"	54
106088		32	32	24
106089		80	23	19
106090		82	"23,5"	57
106091		31	23	19
106092		18	18	3
106093		18	18	"11,5"
106094		12	12	2
106095		80	20	17
106096		25	25	21
106097		21	21	4
106098		"22,7"	"22,7"	"6,3"
106099		"39,3"	"39,3"	"55,4"
106100		18	18	"52,5"
106101		16	16	"49,5"
106102		30	26	12
106103		27	27	23
106104		"27,2"	"27,2"	"41,5"
106105		24	24	28
106106		"24,6"	"24,6"	"46,2"
106107		"31,2"	"31,2"	"37,5"
106108		59	20	17
106109		75	18	17
106110		28	28	11
106111		28	28	5
106112		80	20	32
106113		"26,5"	"26,5"	"6,9"
106114		51	51	6
106115		21	21	18
106116		"21,7"	"21,7"	"33,1"
106117		34	34	4
106118		"38,5"	"10,9"	"28,5"
106119		79	"15,8"	"14,7"
106120		"41,5"	"34,9"	"41,5"
106121		"39,3"	"39,3"	5
106122		20	30	15
106123		8	8	6
106124		78	78	21
106125		66	32	"24,5"
106126		20	20	45
106127		63	"42,5"	22
106128		28	11	4
106129		20	8	4
106130		42	38	13
106131		55	7	7
106132		41	4	4
106133		48	33	6
106134		21	8	"3,5"
106135		5	38	"9,5"
106136		50	25	8
106137		27	8	3
106138		70	45	10
106139		50	31	15
106140		11	30	23
106141		1	27	41
106142		"24,8"	"6,3"	"29,6"
106143		"75,5"	"21,5"	9
106144		"3,4"	"2,5"	"3,4"
106145		2	"1,4"	"0,6"
106146		"115,5"	"21,5"	9
106147		35	13	19
106148		"8,2"	"17,5"	"11,5"
106149		"30,3"	"28,1"	"31,1"
106150		"5,8"	"27,9"	"10,3"
106151		49	54	56
106152		"45,5"	"30,5"	"29,5"
106153		"26,8"	7	7
106154		38	45	24
106155		"32,2"	"8,7"	"8,7"
106156		"37,5"	28	"34,5"
106157		12	21	11
106158		53	22	"49,5"
106159		"17,5"	"24,5"	"13,5"
106160		58	27	35
106161		60	33	33
106162		"30,5"	"32,5"	"4,5"
106163		29	12	35
106164		6	"25,5"	"1,6"
106165		"19,3"	"9,7"	"6,5"
106166		1	10	20
106167		"32,5"	24	20
106168		52	39	18
106169		59	52	41
106170		2	13	42
106171		6	10	1
106172		32	14	18
106173		60	39	32
106174		"38,5"	"29,5"	21
106175		"12,3"	10	"8,5"
106176		"38,5"	"29,5"	33
106177		38	20	4
